identifiant;fichier;index;categorie;priorite;texte
BIC-AMORT-18B-GENERAL;BIC-AMORT-18B-GENERAL.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-AMORT-18B-GENERAL;BIC-AMORT-18B-GENERAL.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-AMORT-18B-INFO;BIC-AMORT-18B-INFO.yaml;0;date;sourcable;date d effet
BIC-AMORT-18B-INFO;BIC-AMORT-18B-INFO.yaml;1;autre;bloqueur;fraction recalculee vs dotation entiere
BIC-AMORT-18B-VEHICULES;BIC-AMORT-18B-VEHICULES.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-AMORT-18B-VEHICULES;BIC-AMORT-18B-VEHICULES.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18-MIXTES;BIC-CHG-18-MIXTES.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18-MIXTES;BIC-CHG-18-MIXTES.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18A-ASSURANCES;BIC-CHG-18A-ASSURANCES.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18A-ASSURANCES;BIC-CHG-18A-ASSURANCES.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18A1-EXPATRIES;BIC-CHG-18A1-EXPATRIES.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18A1-EXPATRIES;BIC-CHG-18A1-EXPATRIES.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18A1-SALAIRES;BIC-CHG-18A1-SALAIRES.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18A1-SALAIRES;BIC-CHG-18A1-SALAIRES.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18A2-LOYERS;BIC-CHG-18A2-LOYERS.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18A2-LOYERS;BIC-CHG-18A2-LOYERS.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18A3-FRAISSIEGE;BIC-CHG-18A3-FRAISSIEGE.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18A3-FRAISSIEGE;BIC-CHG-18A3-FRAISSIEGE.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18A3-FRAISSIEGE;BIC-CHG-18A3-FRAISSIEGE.yaml;2;taux;sourcable;taux 5%/20%
BIC-CHG-18A3-FRAISSIEGE;BIC-CHG-18A3-FRAISSIEGE.yaml;3;agregat;bloqueur;definition FRAIS_GENERAUX
BIC-CHG-18A4-ADMIN;BIC-CHG-18A4-ADMIN.yaml;0;date;sourcable;date d effet
BIC-CHG-18A4-ADMIN;BIC-CHG-18A4-ADMIN.yaml;1;seuil;sourcable;plafond 3 000 000 FCFA / beneficiaire / an
BIC-CHG-18A5-INTERETS;BIC-CHG-18A5-INTERETS.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18A5-INTERETS;BIC-CHG-18A5-INTERETS.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18A6-CCATAUX;BIC-CHG-18A6-CCATAUX.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18A6-CCATAUX;BIC-CHG-18A6-CCATAUX.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18A6-SOUSCAP;BIC-CHG-18A6-SOUSCAP.yaml;0;date;sourcable;date d effet
BIC-CHG-18A6-SOUSCAP;BIC-CHG-18A6-SOUSCAP.yaml;1;agregat;bloqueur;assiette 30 % — RESULTAT_AVANT_IMPOT a figer
BIC-CHG-18A6-SOUSCAP;BIC-CHG-18A6-SOUSCAP.yaml;2;autre;bloqueur;limites (a)(c)(d)(e)
BIC-CHG-18A6-SOUSCAP;BIC-CHG-18A6-SOUSCAP.yaml;3;taux;sourcable;taux BCEAO + 2
BIC-CHG-18B-CREDITBAILVT;BIC-CHG-18B-CREDITBAILVT.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18B-CREDITBAILVT;BIC-CHG-18B-CREDITBAILVT.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18D-IMPOTS;BIC-CHG-18D-IMPOTS.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18D-IMPOTS;BIC-CHG-18D-IMPOTS.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18E-CADEAUX;BIC-CHG-18E-CADEAUX.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18E-CADEAUX;BIC-CHG-18E-CADEAUX.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18F-PENALITES;BIC-CHG-18F-PENALITES.yaml;0;date;sourcable;date d effet 01/01/2026
BIC-CHG-18F-PENALITES;BIC-CHG-18F-PENALITES.yaml;1;autre;hors_perimetre;valeurs issues doc client 5 — a valider metier
BIC-CHG-18G-DONS;BIC-CHG-18G-DONS.yaml;0;taux;sourcable;taux 2,5 % — verifier art. 18 G / annexe fiscale
BIC-CHG-18G-DONS;BIC-CHG-18G-DONS.yaml;1;seuil;sourcable;plafond 200 000 000 FCFA — verifier art. 18 G
BIC-CHG-18G-DONS;BIC-CHG-18G-DONS.yaml;2;date;sourcable;date d effet 01/01/2026
BIC-PROV-18E1-CREANCES;BIC-PROV-18E1-CREANCES.yaml;0;date;sourcable;date d effet 01/01/2026
